address,amount
0xe2d7bd22ee6ef28976cf416ad06468f7b1fcbb88,80000000000000000000000
0xc9e00ccaf78a9646f1469727dd1377ad608c7d66,68844206880000000000000
0x16bcbeadc2094788718513fffbcb2357e0e5ddc7,65600000000000000000000
0x1b1466020713b05cca234a779d813024f69a0043,64437657200000000000000
0x6576ee858b723e23e24be2f6ad530aae89845cac,64160000000000000000000
0xe91a01e2460d8273e3eb514336c9919790e5f9d2,63520000000000000000000
0x15ead694140eff45400b90c9b1eb9dcd464b060c,60000000000000000000000
0x6a40b273f805eba9ff254c4ad60b9026581fb37b,60000000000000000000000
0x95e7d08627ae40ff497f98e61466414141da046d,60000000000000000000000
0xd070117c1040f8cb8f69a13213b5cbe9194d02e7,60000000000000000000000
0xe3cff4dd34b54a90747a8efd2a73f751f0ae6dbf,60000000000000000000000
0x5b867579a451b7f4541f6c21f56d4063409d9f4a,59600000000000000000000
0x93650184db85d1de55add9f8473d43136eb0f8e5,57160000000000000000000
0x61a6dc9d0b38296e1f7817551bc4d1cc740e33e4,53722543280000000000000
0x359add3436f10a6fafaf0f35852fedec63d3d31c,52813711120000000000000
0x53d1cb3c5f07e1711540e7a60ee2c87da815d236,52000000000000000000000
0xd93d3c2557342fc6ad78f47e0519ff43861e0700,52000000000000000000000
0x6a1b96016e6537fc022853e073256ebee342e3b0,51652970800000000000000
0xbf0a72cc3946347c573510dae44ebb54ddf43ab3,51600000000000000000000
0x82ebf94d076daf28a57bbabf409da37f6ed17069,50038000240000000000000
0x8e8efe470a152adf8d5acb27ce83c0f7bc645ffe,50000000000000000000000
0x51c67079a93afedd1bf8cd387fe9477b617ad91f,49088374240000000000000
0x850b8b8d8dff8ef58ab6c71fb8f68d0327da7966,48000000000000000000000
0xbc2ead39932d037b419d162d0f9ea9770487b942,47349993720000000000000
0x8073438bb28e4fc9abfacd8442512590dc7e5f40,46000000000000000000000
0xe856f7744c4560cf4ac32d0ffded2912e21f1a8a,45080000000000000000000
0xd0b0a016468e179cb2dbe1d418ecb81a3efe0a3d,44303327480000000000000
0xf6a9ea0c5b4a58ec1ac0dc10ba99477fb0d42ba6,43793892520000000000000
0x096003383b363d5bae6c1a71696eca1597d7feae,42378238200000000000000
0x3003f77eb11af2ce77997149a2d8717b1daba65f,42049159800000000000000
0x7c2cdbe101336eb5ec022bbd78de2eaec0fbe048,42000000000000000000000
0x2981c9ee93f6c85eb53ef9a9bb3e5c1f623fa9de,41672795160000000000000
0x8f43af563410729bc027deb3e613730b086a55ab,41600000000000000000000
0x90c60b1a263f02795ee3896a2727cc287af4cb85,41047984560000000000000
0x2d44988f48d651ea649df93ea83fffe2e1f777d2,40400000000000000000000
0xc201e577c8d117c426e311509280f439abff59ad,40357271280000000000000
0x761091efb401df03cfd9375d3cd36a9dc5d2afa5,40310064000000000000000
