address,amount
0x81dce0554a3d00f32754e5a4c8631a06627000c1,35000000000000000000000
0x1ef8d14adc9de74ec6fd48007153edb928b809dd,34015000000000000000000
0x2352e631a0042fc72c0f4d7cab98b6e27a2297ac,33944000000000000000000
0xc549c02ca06cc23a0b48a67f946998cd5282d12d,32982887500000000000000
0xd3e7fdd444f0957f94bc1fc09a0aa7d455cb25f1,32500000000000000000000
0x16a0e9c87e1041ad548729551f53a3dfd93c54bd,31250000000000000000000
0x6586e6d49ce53f4ef95247d7cc7e60caf05e9b15,30093050000000000000000
0x76181faab255ace1ce19e55bb72e019e1b5f66b6,30000000000000000000000
0xc130587f640ac8caeaf6c2674b02d45c4bf1e47b,30000000000000000000000
0xc720e177ea42322693a880f9723511e6c9b7d618,30000000000000000000000
0x28be2a68c07de82161a4868644d38bb8bdfd5791,28950000000000000000000
0xdcc03a04f0a4d5b3f58272d27250ee11021b3913,28428250000000000000000
0xd4f1265bb171132773c90678bad511e6ab7d730f,27840000000000000000000
0x485f3cfcb0d7348b63ca57475cbc33af3faa699c,27644586090000000000000
0xc4cd55ce163a4fb6fb2485867454fe2c1984551f,27510000000000000000000
0x932daff914650f8f44927c0bfc9d556eeac1b630,27500000000000000000000
0xc706818e5f7da247524397d9f68d2883845fcdd9,27042500000000000000000
0xbb74aa8afbbaa664a671b821cbf3eb14a443c294,27035595000000000000000
0x5a503ae30420ac0815db1bd9a0d3a99f448965ed,26500000000000000000000
0x963efe01e119989d6c0c0f49da94d5b8b40addd1,26496025600000000000000
0x957adad8baa9975983473876cf4e99a29c77daed,26300000000000000000000
0x166136deb0faba2e001d6ce986644bf11e81e8a4,26280672800000000000000
0x171c71317a1de969b5cb17e75526dd7d789f1464,25900000000000000000000
0x082fff87561d5020b67ec10deaa1cc62f44244d5,25550000000000000000000
0x7e198af3577a76de107d0f3598d9656386cbf373,25550000000000000000000
0x870b050f55e6c3c2c8e4a78b0f3aad0240cace72,25500000000000000000000
0xc054efedb64dec41e8a58994c4975aea4c9919ec,25500000000000000000000
0x5Aa2d92706AC04a5A7C1426c468ECDe8f6885146,25300000000000000000000
0x8dc208d15c77786b335bf18f3434055cdf60bc07,25288613770000000000000
0x28c45adfb616547ab8da617151ae906c7419cfee,25250000000000000000000
0x5dce61b7ec265a0636cefc094b1811837f341356,25250000000000000000000
0xcf939ceac83777aab3f5c7fb48af980eda069215,25250000000000000000000
0x5b2fe8471c0123b9c5983be8d463a50ff5d8427a,25200855000000000000000
0x75bb2cb43b95d502bbd6351ffcbd47b09f9c3ad1,25109500000000000000000
0xf73Ec3B7EA91890C2757D036F101Dd36cD066F9a,25100000000000000000000
0xea626bd6fcd7cbf1b05463042ecf4728fdcecd53,25097592300000000000000
0xa057ff5dd242853d37514c47d83e5b55f68d6092,25058160000000000000000
0x1e1713c324367cb43b71f43451a656257c6e0b38,25050000000000000000000
0x65d00a2c5172b89cff874dcfaf99f18bf456187a,25050000000000000000000
0x74111ca8018ff0d0f5aedee5f471d6853e56c93c,25050000000000000000000
0xa5e0d8962d61eec4926e6cc7e29e2e2445ea6867,25050000000000000000000
0x1cc57b0b0fca3a93478b37fc0ce0bf5e2ed1ae07,25010000000000000000000
0x1d8bc18cfa9d17e14d022d42a1443cfd7caeae42,25010000000000000000000
0x2fbecd77dca183f544ddc8381435fe1e846817e8,25010000000000000000000
0x9cd330c1ee280cf91398a2f490630aa3ede2f674,25010000000000000000000
0xc88d02375abbe794cecd924c9fdc30f004ab7dd5,25010000000000000000000
0xdab142b3af0b31ef6646d375b058f35b62f2f007,25010000000000000000000
0xafc32d314598d4662ed423ce98cdbda402e6cd29,25005000000000000000000
0x17e5bd7ba8bc6ff37bf7e74504ba434f2f7d8b3b,25000000000000000000000
0x1a47d6c53ad78d91c57b9328e86b1d3ea4dc4941,25000000000000000000000
0x1d426be195b0e26398adafef0224a7a4c8ea9b28,25000000000000000000000
0x1f0c0881384d496fc0be60f4a9a2dd32b6610f94,25000000000000000000000
0x22de5aBeb0815C80Dd64a95Ed2d591b03de59597,25000000000000000000000
0x26ea4348fa95c486828e684addbd0ca2d06ec2f7,25000000000000000000000
0x2758a5eaac9d451f6f8b3bad4399afae7d5efaa3,25000000000000000000000
0x27c37c936b316822de4ee5aba4df01595d13342a,25000000000000000000000
0x291079e6b9c5bbc2e4da76ae1a542dfe0c8b3f67,25000000000000000000000
0x311a42d0605ae0f372e926231776e9a36a4334b7,25000000000000000000000
0x351acfbfb68396867c807dc4efa72f0cd76eb21f,25000000000000000000000
0x5d5a726b674e313dff284a02b7c121a93b283f71,25000000000000000000000
0x61a89681f936f3aefc4bea2a3581378e6cdee1a1,25000000000000000000000
0x672e7500e28fb011750c843ef15844fda365bb0c,25000000000000000000000
